filename,cmodels,pid,parent,sequence,Identifier,Child,Directory,FileName,FileCount,SpecialType,Title,Parent Item Title,Identifier (Item Number),Photographer,Date Created,Subject - Topic,Subject - Geographic,Subject - Temporal,Subject - Name [personal],Subject - Name [corporate],Subject - Name [family],Abstract (Description),Biographical Information,Note,Type of Resource,Internet Media Type,Form,Medium,Extent,Source,Digital Collection,Relation,Repository Collection,Repository Collection Guide,Arrangement (Record Group),Arrangement (Series),Arrangement (Subseries),Arrangement (Box),Arrangement (Folder),Location (Physical Location),Location (Institution Web Site),Location (OCLC Member Symbol),Location (Sublocation),Location (Shelving Location),Rights,Contact Information,Preferred Citation,Digitization Date,Digitized By,Digital Reproduction Information,Record Creation Date,Cataloged By
,islandora:compoundCModel,,lsu-multi:collection,,1,,A5000B015F001P001,,2,,Style show for 50th anniversary of women on campus ,,A5000B015F001P001,,1956,Women college students--Louisiana--Baton Rouge--Photographs; Fashion shows--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen fifties,,Louisiana State University and Agricultural and Mechanical College--Students--Photographs,,"Two female students, dressed in early twentieth-century clothing and holding parasols, stand in front of a lamppost near Memorial Tower. The Law Building is visible in the background.",,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/19/2018,en
cat.jp2,islandora:sp_large_image_cmodel,,2,1,1_01,1,A5000B015F001P001,A5000B015F001P001_001.jp2,,,Front,Style show for 50th anniversary of women on campus ,A5000B015F001P001_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/19/2018,en
cat.jp2,islandora:sp_large_image_cmodel,,2,2,1_02,2,A5000B015F001P001,A5000B015F001P001_002.jp2,,,Back,Style show for 50th anniversary of women on campus  ,A5000B015F001P001_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/19/2018,en
,,,,,2,,A5000B015F001P002,,2,,A Boy preparing to jump into the Huey P. Long Field House pool,,A5000B015F001P002,,Circa 1932-1950,Swimming pools--Louisiana--Baton Rouge--Photographs; Swimmers--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Twentieth century,,"Huey P. Long Field House (Baton Rouge, La.)--Photographs",,,,"Handwritten on back: Fiser Collection. Stamped in ink on back: Stroube's Overnight Kodak Service, Baton Rouge, LA.",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
,,,,,2_01,1,A5000B015F001P002,A5000B015F001P002_001.jp2,,,Front,Boy preparing to jump into the Huey P. Long Field House pool,A5000B015F001P002_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,2_02,2,A5000B015F001P002,A5000B015F001P002_002.jp2,,,Back,Boy preparing to jump into the Huey P. Long Field House pool,A5000B015F001P002_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,3,,A5000B015F001P003,,2,,Swimmer with trophies at the Huey P. Long Field House pool,,A5000B015F001P003,,Circa 1932-1950,Swimming pools--Louisiana--Baton Rouge--Photographs; Swimmers--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Twentieth century,,"Huey P. Long Field House (Baton Rouge, La.)--Photographs",,,,"Handwritten on back: Fiser Collection. Stamped in ink on back: Stroube's Overnight Kodak Service, Baton Rouge, LA.",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
,,,,,3_01,1,A5000B015F001P003,A5000B015F001P003_001.jp2,,,Front,Swimmer with trophies at the Huey P. Long Field House pool,A5000B015F001P003_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,3_02,2,A5000B015F001P003,A5000B015F001P003_002.jp2,,,Back,Swimmer with trophies at the Huey P. Long Field House pool,A5000B015F001P003_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,4,,A5000B015F001P004,,2,,Thomas Duckett Boyd with crowd ,,A5000B015F001P004,,Circa 1920-1930,College presidents--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen twenties,"Boyd, Thomas Duckett,1854-1932--Photographs",Louisiana State University and Agricultural and Mechanical College--Presidents--Photographs,,,,Handwritten on front: LSU-SW 10. Handwritten on back: Fiser Collection. ,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 1,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 1","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
,,,,,4_01,1,A5000B015F001P004,A5000B015F001P004_001.jp2,,,Front,Thomas Duckett Boyd with crowd ,A5000B015F001P004_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,4_02,2,A5000B015F001P004,A5000B015F001P004_002.jp2,,,Back,Thomas Duckett Boyd with crowd ,A5000B015F001P004_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/20/2018,en
,,,,,5,,,A5000B015F002P001.jp2,1,,Agricultural exhibit train car,,A5000B015F002P001,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,"Train car with a banner that reads: Agricultural Exhibit Car from College of Agriculture, Louisiana State University.",,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
,,,,,6,,,A5000B015F002P002.jp2,1,,Agricultural exhibit train car,,A5000B015F002P002,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,A horse-drawn carriage carrying a band and an advertising sign for AL & G Depot stands in front of an LSU College of Agriculture exhibit train.,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/20/2018,en
,,,,,7,,,A5000B015F002P003.jp2,1,,Agricultural exhibit train car,,A5000B015F002P003,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,A horse-drawn carriage carrying a band and an advertising sign for AL & G Depot stands in front of an LSU College of Agriculture exhibit train.,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/29/2018,en
,,,,,8,,A5000B015F002P004,,2,,Agricultural exhibit train at Bernice depot,,A5000B015F002P004,,1910-1911,Agricultural exhibitions--Louisiana--Bernice--Photographs; Railroad trains--Louisiana--Bernice--Photographs; Railroad stations--Louisiana--Bernice--Photographs,Bernice (La.),Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,A crowd of spectators stands next to a train carrying exhibits from the LSU College of Agriculture.,,Handwritten on back: A typical Rock Island crowd.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/29/2018,en
,,,,,8_01,1,A5000B015F002P004,A5000B015F002P004_001.jp2,,,Front,Agricultural exhibit train at Bernice depot,A5000B015F002P004_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,8_02,2,A5000B015F002P004,A5000B015F002P004_002.jp2,,,Back,Agricultural exhibit train at Bernice depot,A5000B015F002P004_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,9,,A5000B015F002P005,,2,,Agricultural exhibit lecture car,,A5000B015F002P005,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,Attendees sit inside an LSU College of Agriculture exhibit train car.,,"Handwritten on back: Lecture car decorated, seating capacity unimpaired, Rock Island.",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/11/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/29/2018,en
,,,,,9_01,1,A5000B015F002P005,A5000B015F002P005_001.jp2,,,Front,Agricultural exhibit lecture car,A5000B015F002P005_001,,1910-1911,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,9_02,2,A5000B015F002P005,A5000B015F002P005_002.jp2,,,Back,Agricultural exhibit lecture car,A5000B015F002P005_002,,1910-1911,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,10,,A5000B015F002P006,,2,,Agricultural exhibit lecture car,,A5000B015F002P006,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,Attendees sit inside an LSU College of Agriculture exhibit train car.,,"Handwritten on back: Lecture car decorated, seating capacity unimpaired, Rock Island.",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/16/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/29/2018,en
,,,,,10_01,1,A5000B015F002P006,A5000B015F002P006_001.jp2,,,Front,Agricultural exhibit lecture car,A5000B015F002P006_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,10_02,2,A5000B015F002P006,A5000B015F002P006_002.jp2,,,Back,Agricultural exhibit lecture car,A5000B015F002P006_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,11,,A5000B015F002P007,,2,,Agricultural exhibit lecture car,,A5000B015F002P007,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,Attendees sit inside an LSU College of Agriculture exhibit train car.,,"Handwritten on back: Lecture car, Rock Island, showing interior decoration, with seating capacity unimpaired.",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/16/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/29/2018,en
,,,,,11_01,1,A5000B015F002P007,A5000B015F002P007_001.jp2,,,Front,Agricultural exhibit lecture car,A5000B015F002P007_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,11_02,2,A5000B015F002P007,A5000B015F002P007_002.jp2,,,Back,Agricultural exhibit lecture car,A5000B015F002P007_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,12,,A5000B015F002P008,,2,,Agricultural exhibit train in Houma,,A5000B015F002P008,,1910-1911,Agricultural exhibitions--Louisiana--Houma--Photographs; Railroad trains--Louisiana--Houma--Photographs,Houma (La.),Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,"A train carrying exhibits from the LSU College of Agriculture attracts a crowd of spectators in Houma, Louisiana.",,Handwritten on back: Houma.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/16/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/29/2018,en
,,,,,12_01,1,A5000B015F002P008,A5000B015F002P008_001.jp2,,,Front,Agricultural exhibit train in Houma,A5000B015F002P008_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,12_02,2,A5000B015F002P008,A5000B015F002P008_002.jp2,,,Back,Agricultural exhibit train in Houma,A5000B015F002P008_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,13,,A5000B015F002P009,,2,,Agricultural exhibit train in Raceland,,A5000B015F002P009,,1910-1911,Agricultural exhibitions--Louisiana--Raceland--Photographs; Railroad trains--Louisiana--Raceland--Photographs,Raceland (La.),Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,"A train carrying exhibits from the LSU College of Agriculture attracts a crowd of spectators in Raceland, Louisiana.",,Handwritten on back: Raceland.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/16/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/29/2018,en
,,,,,13_01,1,A5000B015F002P009,A5000B015F002P009_001.jp2,,,Front,Agricultural exhibit train in Raceland,A5000B015F002P009_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,13_02,2,A5000B015F002P009,A5000B015F002P009_002.jp2,,,Back,Agricultural exhibit train in Raceland,A5000B015F002P009_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,11/29/2018,en
,,,,,14,,,A5000B015F002P010.jp2,1,,Agricultural exhibit train,,A5000B015F002P010,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,A train carrying exhibits from the LSU College of Agriculture attracts a crowd of spectators.,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/16/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/30/2018,en
,,,,,15,,,A5000B015F002P011.jp2,1,,Agricultural exhibit train,,A5000B015F002P011,,1910-1911,Agricultural exhibitions--Louisiana--Photographs; Railroad trains--Louisiana--Photographs,Louisiana,Nineteen tens,,Louisiana State University and Agricultural and Mechanical College. College of Agriculture--Photographs; Louisiana Cooperative Extension Service--Photographs,,A train carrying exhibits from the LSU College of Agriculture attracts a crowd of spectators.,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 15,Folder 2,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 15, Folder 2","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",4/16/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,11/30/2018,en
